datetime,pm_occupancy,mt_occupancy,ml_occupancy,,
07/28/2018 6:00,0,0,0,,
07/28/2018 6:15,0,0,1,,
07/28/2018 6:30,0,0,1,,
07/28/2018 6:45,0,0,0,,
07/28/2018 7:00,0,2,4,,
07/28/2018 7:15,0,1,1,,
07/28/2018 7:30,1,2,2,,
07/28/2018 7:45,3,5,4,,
07/28/2018 8:00,5,5,5,,
07/28/2018 8:15,6,6,6,,
07/28/2018 8:30,7,8,12,,
07/28/2018 8:45,9,12,15,,
07/28/2018 9:00,11,14,18,,
07/28/2018 9:15,12,14,19,,
07/28/2018 9:30,22,19,24,,
07/28/2018 9:45,23,22,28,,
07/28/2018 10:00,26,25,25,,
07/28/2018 10:15,28,30,30,,
07/28/2018 10:30,35,29,31,,
07/28/2018 10:45,39,26,26,,
07/28/2018 11:00,36,28,27,,
07/28/2018 11:15,37,25,27,,
07/28/2018 11:30,37,26,29,,
07/28/2018 11:45,34,27,28,,
07/28/2018 12:00,37,26,30,,
07/28/2018 12:15,39,28,28,,
07/28/2018 12:30,39,29,29,,
07/28/2018 12:45,40,25,28,,
07/28/2018 13:00,42,28,32,,
07/28/2018 13:15,40,28,28,,
07/28/2018 13:30,39,27,27,,
07/28/2018 13:45,39,27,29,,
07/28/2018 14:00,39,29,32,,
07/28/2018 14:15,39,25,26,,
07/28/2018 14:30,38,27,28,,
07/28/2018 14:45,38,28,29,,
07/28/2018 15:00,38,26,25,,
07/28/2018 15:15,31,19,21,,
07/28/2018 15:30,29,17,23,,
07/28/2018 15:45,32,17,21,,
07/28/2018 16:00,29,20,24,,
07/28/2018 16:15,26,17,17,,
07/28/2018 16:30,27,21,21,,
07/28/2018 16:45,28,20,23,,
07/28/2018 17:00,25,21,23,,
07/28/2018 17:15,27,25,26,,
07/28/2018 17:30,28,26,24,,
07/28/2018 17:45,31,29,29,,
07/28/2018 18:00,28,30,26,,
07/28/2018 18:15,31,29,28,,
07/28/2018 18:30,32,29,28,,
07/28/2018 18:45,30,27,28,,
07/28/2018 19:00,28,29,29,,
07/28/2018 19:15,28,29,29,,
07/28/2018 19:30,28,29,26,,
07/28/2018 19:45,26,29,26,,
07/29/2018 6:00,0,0,0,,
07/29/2018 6:15,0,0,1,,
07/29/2018 6:30,0,4,3,,
07/29/2018 6:45,0,2,5,,
07/29/2018 7:00,0,2,3,,
07/29/2018 7:15,0,2,4,,
07/29/2018 7:30,0,3,3,,
07/29/2018 7:45,0,3,3,,
07/29/2018 8:00,0,3,2,,
07/29/2018 8:15,0,2,3,,
07/29/2018 8:30,0,4,5,,
07/29/2018 8:45,0,4,5,,
07/29/2018 9:00,0,4,6,,
