"","Zone ","","Zone Description","","Insert Date","Parking Amount"
"","5952","","Amherst, MA","","43318.3883102199","1.0"
"","5952","","Amherst, MA","","43318.391929942125","0.5"
"","5952","","Amherst, MA","","43318.410429166666","1.0"
"","5952","","Amherst, MA","","43318.421394907404","4.0"
"","5952","","Amherst, MA","","43318.42199892361","4.0"
"","5952","","Amherst, MA","","43318.48750891203","0.5"
"","5952","","Amherst, MA","","43318.49464537037","1.0"
"","5952","","Amherst, MA","","43318.50634552083","4.0"
"","5952","","Amherst, MA","","43318.51555737268","1.0"
"","5952","","Amherst, MA","","43318.524706979166","0.5"
"","5952","","Amherst, MA","","43318.59146431713","3.0"
"","5952","","Amherst, MA","","43318.595221296295","1.0"
"","5952","","Amherst, MA","","43318.625766006946","0.5"
"","5952","","Amherst, MA","","43318.63044980324","0.5"
"","5952","","Amherst, MA","","43318.65349016203","4.0"
"","5952","","Amherst, MA","","43318.79621400463","1.0"
"","5952","","Amherst, MA","","43318.81377716435","0.5"
"","5952","","Amherst, MA","","43319.4126940162","1.0"
"","5952","","Amherst, MA","","43319.46021481481","2.0"
"","5952","","Amherst, MA","","43319.49950494213","1.0"
"","5952","","Amherst, MA","","43319.534014004625","1.0"
"","5952","","Amherst, MA","","43319.55127152777","0.5"
"","5952","","Amherst, MA","","43319.55763040509","2.0"
"","5952","","Amherst, MA","","43319.56127711805","1.5"
"","5952","","Amherst, MA","","43319.56633313657","3.0"
"","5952","","Amherst, MA","","43319.570602581014","1.0"
"","5952","","Amherst, MA","","43319.585363425926","2.5"
"","5952","","Amherst, MA","","43319.604081018515","1.5"
"","5952","","Amherst, MA","","43319.60810547454","1.0"
"","5952","","Amherst, MA","","43319.622651157406","1.5"
"","5952","","Amherst, MA","","43319.6542940625","1.0"
"","5952","","Amherst, MA","","43319.66528144676","0.5"
"","5952","","Amherst, MA","","43319.666572800925","4.0"
"","5952","","Amherst, MA","","43319.68365501157","0.5"
