datetime,occupancy
8/6/2018 7:30,1
8/6/2018 7:45,1
8/6/2018 8:0,1
8/6/2018 8:15,1
8/6/2018 9:30,3
8/6/2018 9:45,5
8/6/2018 10:0,6
8/6/2018 10:15,8
8/6/2018 10:30,10
8/6/2018 10:45,10
8/6/2018 11:0,10
8/6/2018 11:15,12
8/6/2018 11:30,15
8/6/2018 11:45,19
8/6/2018 12:0,22
8/6/2018 12:15,24
8/6/2018 12:30,31
8/6/2018 12:45,23
8/6/2018 13:0,22
8/6/2018 13:15,19
8/6/2018 13:30,17
8/6/2018 13:45,19
8/6/2018 14:0,21
8/6/2018 14:15,23
8/6/2018 14:30,24
8/6/2018 14:45,21
8/6/2018 15:0,22
8/6/2018 15:15,23
8/6/2018 15:30,17
8/6/2018 15:45,16
8/6/2018 16:0,17
8/6/2018 16:15,16
8/6/2018 16:30,15
8/6/2018 16:45,16
8/6/2018 17:0,16
8/6/2018 17:15,15
8/6/2018 17:30,15
8/6/2018 17:45,16
8/6/2018 18:0,14
8/6/2018 18:15,17
8/6/2018 18:30,19
8/6/2018 18:45,20
8/6/2018 19:0,26
8/6/2018 19:15,29
8/6/2018 19:30,30
8/6/2018 19:45,30
8/6/2018 20:0,21
8/6/2018 20:15,8
8/6/2018 20:30,6
8/6/2018 20:45,4
8/6/2018 21:0,4
8/6/2018 21:15,2
8/6/2018 21:30,2
8/6/2018 21:45,2
8/6/2018 22:0,2
8/6/2018 22:15,2
8/6/2018 22:30,1
8/7/2018 8:0,1
8/7/2018 8:15,2
8/7/2018 8:30,4
8/7/2018 8:45,4
8/7/2018 9:0,4
8/7/2018 9:15,5
8/7/2018 9:30,4
8/7/2018 9:45,5
8/7/2018 10:0,11
8/7/2018 10:15,11
8/7/2018 10:30,9
8/7/2018 10:45,9
8/7/2018 11:0,9
8/7/2018 11:15,13
8/7/2018 11:30,12
8/7/2018 11:45,15
8/7/2018 12:0,19
8/7/2018 12:15,24
8/7/2018 12:30,24
8/7/2018 12:45,28
8/7/2018 13:0,29
8/7/2018 13:15,28
8/7/2018 13:30,27
8/7/2018 13:45,28
8/7/2018 14:0,24
8/7/2018 14:15,25
8/7/2018 14:30,25
8/7/2018 14:45,27
8/7/2018 15:0,30
8/7/2018 15:15,29
8/7/2018 15:30,24
8/7/2018 15:45,23
8/7/2018 16:0,23
8/7/2018 16:15,24
8/7/2018 16:30,20
8/7/2018 16:45,14
8/7/2018 17:0,13
8/7/2018 17:15,18
8/7/2018 17:30,22
8/7/2018 17:45,25
8/7/2018 18:0,33
8/7/2018 18:15,27
8/7/2018 18:30,23
8/7/2018 18:45,25
8/7/2018 19:0,27
8/7/2018 19:15,29
8/7/2018 19:30,24
