"","Zone ","Zone Description","","Insert Date","Parking Amount"
"","5952","Amherst, MA","","43309.32762334491","0.5"
"","5952","Amherst, MA","","43309.36493966435","1.0"
"","5952","Amherst, MA","","43309.367025","1.0"
"","5952","Amherst, MA","","43309.391836689814","3.0"
"","5952","Amherst, MA","","43309.40542241898","4.0"
"","5952","Amherst, MA","","43309.41124760416","1.0"
"","5952","Amherst, MA","","43309.41195173611","0.5"
"","5952","Amherst, MA","","43309.43038121528","0.5"
"","5952","Amherst, MA","","43309.43204116898","1.0"
"","5952","Amherst, MA","","43309.43333371528","4.0"
"","5952","Amherst, MA","","43309.4361159375","2.0"
"","5952","Amherst, MA","","43309.44538912037","0.5"
"","5952","Amherst, MA","","43309.44639892361","1.0"
"","5952","Amherst, MA","","43309.46267916667","1.0"
"","5952","Amherst, MA","","43309.48435702546","0.5"
"","5952","Amherst, MA","","43309.50011774305","4.0"
"","5952","Amherst, MA","","43309.50086354167","1.0"
"","5952","Amherst, MA","","43309.503079317125","0.5"
"","5952","Amherst, MA","","43309.53800162037","1.0"
"","5952","Amherst, MA","","43309.55194560185","1.0"
"","5952","Amherst, MA","","43309.55714244213","3.0"
"","5952","Amherst, MA","","43309.55894517361","0.5"
"","5952","Amherst, MA","","43309.67653622685","0.5"
"","5952","Amherst, MA","","43309.68283255787","3.0"
"","5952","Amherst, MA","","43309.71156211806","1.0"
"","5952","Amherst, MA","","43309.72518579861","3.0"
"","5952","Amherst, MA","","43309.751573761576","2.0"
"","5952","Amherst, MA","","43309.76750540509","0.5"
"","5952","Amherst, MA","","43309.810656215275","1.0"
"","5952","Amherst, MA","","43311.496432326385","2.0"
"","5952","Amherst, MA","","43311.50642295139","0.5"
"","5952","Amherst, MA","","43311.545807291666","1.0"
"","5952","Amherst, MA","","43311.629277974534","0.5"
"","5952","Amherst, MA","","43311.644605821755","4.0"
"","5952","Amherst, MA","","43311.65908109953","0.5"
"","5952","Amherst, MA","","43311.66615428241","4.0"
"","5952","Amherst, MA","","43311.68654571759","1.5"
"","5952","Amherst, MA","","43311.765857638886","0.5"
"","5952","Amherst, MA","","43311.77824085648","1.5"
"","5952","Amherst, MA","","43312.35066188657","1.5"
"","5952","Amherst, MA","","43312.388696331014","3.0"
"","5952","Amherst, MA","","43312.389886261575","2.0"
"","5952","Amherst, MA","","43312.557225613426","0.5"
"","5952","Amherst, MA","","43312.55784128472","0.5"
"","5952","Amherst, MA","","43312.55996917824","1.5"
"","5952","Amherst, MA","","43312.56766385416","3.0"
"","5952","Amherst, MA","","43312.569963738424","0.5"
"","5952","Amherst, MA","","43312.58046759259","2.5"
"","5952","Amherst, MA","","43312.59811385417","0.5"
"","5952","Amherst, MA","","43312.61577700231","1.0"
"","5952","Amherst, MA","","43312.61582704861","1.5"
"","5952","Amherst, MA","","43312.63183738426","1.0"
"","5952","Amherst, MA","","43312.63785601852","2.5"
"","5952","Amherst, MA","","43312.667861724534","1.5"
"","5952","Amherst, MA","","43312.67142225694","0.5"
"","5952","Amherst, MA","","43312.752209224534","1.0"
"","5952","Amherst, MA","","43312.76142040509","1.5"
"","5952","Amherst, MA","","43312.774528090275","0.5"
"","5952","Amherst, MA","","43312.79515940972","1.0"
"","5952","Amherst, MA","","43312.79980396991","1.0"
"","5952","Amherst, MA","","43312.80208761574","1.0"
"","5952","Amherst, MA","","43313.37184545139","4.0"
"","5952","Amherst, MA","","43313.38687434028","1.0"
"","5952","Amherst, MA","","43313.4381971875","1.0"
"","5952","Amherst, MA","","43313.46313614583","0.5"
"","5952","Amherst, MA","","43313.47926079861","1.0"
"","5952","Amherst, MA","","43313.480730752315","4.0"
"","5952","Amherst, MA","","43313.48481674768","1.5"
"","5952","Amherst, MA","","43313.51495046296","1.0"
"","5952","Amherst, MA","","43313.51940200231","0.5"
"","5952","Amherst, MA","","43313.51972329861","2.0"
"","5952","Amherst, MA","","43313.535803009254","1.0"
"","5952","Amherst, MA","","43313.57983422453","1.5"
"","5952","Amherst, MA","","43313.58275258102","1.0"
"","5952","Amherst, MA","","43313.64923822916","2.0"
"","5952","Amherst, MA","","43313.66398989583","4.0"
"","5952","Amherst, MA","","43313.679059062495","1.0"
"","5952","Amherst, MA","","43313.7110221412","0.5"
"","5952","Amherst, MA","","43313.71339725694","1.0"
"","5952","Amherst, MA","","43313.71418603009","0.5"
"","5952","Amherst, MA","","43313.7873412037","1.0"
"","5952","Amherst, MA","","43313.788174849535","1.0"
"","5952","Amherst, MA","","43314.48158035879","1.0"
"","5952","Amherst, MA","","43314.5270209838","1.0"
"","5952","Amherst, MA","","43314.54764186342","2.0"
"","5952","Amherst, MA","","43314.56305983796","1.0"
"","5952","Amherst, MA","","43314.565600925926","1.0"
"","5952","Amherst, MA","","43314.59794140046","1.5"
"","5952","Amherst, MA","","43314.60199447916","1.0"
"","5952","Amherst, MA","","43314.6090221875","0.5"
