datetime,pm_occupancy,mt_occupancy,ml_occupancy,,,,
07/28/2018 6:00,0,0,1,,,,
07/28/2018 6:15,0,0,1,,,,
07/28/2018 6:30,0,0,1,,,,
07/28/2018 6:45,0,0,1,,,,
07/28/2018 7:00,0,2,3,,,,
07/28/2018 7:15,0,1,2,,,,
07/28/2018 7:30,1,2,1,,,,
07/28/2018 7:45,3,5,2,,,,
07/28/2018 8:00,5,5,5,,,,
07/28/2018 8:15,6,6,7,,,,
07/28/2018 8:30,7,8,9,,,,
07/28/2018 8:45,9,12,11,,,,
07/28/2018 9:00,11,14,14,,,,
07/28/2018 9:15,12,14,13,,,,
07/28/2018 9:30,22,19,17,,,,
07/28/2018 9:45,23,22,18,,,,
07/28/2018 10:00,26,25,17,,,,
07/28/2018 10:15,28,30,21,,,,
07/28/2018 10:30,35,29,24,,,,
07/28/2018 10:45,39,26,23,,,,
07/28/2018 11:00,36,28,22,,,,
07/28/2018 11:15,37,25,24,,,,
07/28/2018 11:30,37,26,21,,,,
07/28/2018 11:45,34,27,20,,,,
07/28/2018 12:00,37,26,25,,,,
07/28/2018 12:15,39,28,26,,,,
07/28/2018 12:30,39,29,26,,,,
07/28/2018 12:45,40,25,18,,,,
07/28/2018 13:00,42,28,29,,,,
07/28/2018 13:15,40,28,21,,,,
07/28/2018 13:30,39,27,21,,,,
07/28/2018 13:45,39,27,23,,,,
07/28/2018 14:00,39,29,21,,,,
07/28/2018 14:15,39,25,16,,,,
07/28/2018 14:30,38,27,20,,,,
07/28/2018 14:45,38,28,24,,,,
07/28/2018 15:00,38,26,21,,,,
07/28/2018 15:15,31,19,17,,,,
07/28/2018 15:30,29,17,19,,,,
07/28/2018 15:45,32,17,15,,,,
07/28/2018 16:00,29,20,20,,,,
07/28/2018 16:15,26,17,16,,,,
07/28/2018 16:30,27,21,18,,,,
07/28/2018 16:45,28,20,21,,,,
07/28/2018 17:00,25,21,19,,,,
07/28/2018 17:15,27,25,21,,,,
07/28/2018 17:30,28,26,18,,,,
07/28/2018 17:45,31,29,22,,,,
07/28/2018 18:00,28,30,25,,,,
07/28/2018 18:15,31,29,24,,,,
07/28/2018 18:30,32,29,22,,,,
07/28/2018 18:45,30,27,20,,,,
07/28/2018 19:00,28,29,17,,,,
07/28/2018 19:15,28,29,20,,,,
07/28/2018 19:30,28,29,24,,,,
07/28/2018 19:45,26,29,23,,,,
07/29/2018 6:00,0,0,2,,,,
07/29/2018 6:15,0,0,2,,,,
07/29/2018 6:30,0,4,3,,,,
07/29/2018 6:45,0,2,4,,,,
07/29/2018 7:00,0,2,6,,,,
07/29/2018 7:15,0,2,4,,,,
07/29/2018 7:30,0,3,5,,,,
07/29/2018 7:45,0,3,8,,,,
07/29/2018 8:00,0,3,4,,,,
07/29/2018 8:15,0,2,4,,,,
07/29/2018 8:30,0,4,5,,,,
07/29/2018 8:45,0,4,7,,,,
07/29/2018 9:00,0,4,8,,,,
07/29/2018 9:15,0,8,8,,,,
07/29/2018 9:30,0,19,20,,,,
07/29/2018 9:45,0,19,25,,,,
07/29/2018 10:00,0,28,30,,,,
07/29/2018 10:15,0,28,26,,,,
07/29/2018 10:30,0,25,28,,,,
07/29/2018 10:45,0,26,28,,,,
07/29/2018 11:00,0,21,20,,,,
07/29/2018 11:15,0,21,20,,,,
07/29/2018 11:30,0,20,21,,,,
07/29/2018 11:45,0,19,21,,,,
07/29/2018 12:00,0,23,22,,,,
07/29/2018 12:15,0,24,25,,,,
07/29/2018 12:30,0,27,22,,,,
07/29/2018 12:45,2,25,22,,,,
07/29/2018 13:00,2,24,19,,,,
07/29/2018 13:15,2,24,16,,,,
07/29/2018 13:30,2,23,17,,,,
07/29/2018 13:45,1,29,20,,,,
07/29/2018 14:00,1,21,20,,,,
07/29/2018 14:15,2,22,18,,,,
07/29/2018 14:30,2,17,14,,,,
07/29/2018 14:45,2,16,16,,,,
07/29/2018 15:00,2,19,11,,,,
07/29/2018 15:15,2,17,12,,,,
07/29/2018 15:30,1,19,17,,,,
07/29/2018 15:45,1,15,16,,,,
07/29/2018 16:00,1,13,13,,,,
07/29/2018 16:15,0,15,18,,,,
07/29/2018 16:30,0,19,13,,,,
07/29/2018 16:45,0,15,14,,,,
07/29/2018 17:00,0,13,15,,,,
07/29/2018 17:15,0,18,16,,,,
07/29/2018 17:30,0,29,24,,,,
07/29/2018 17:45,0,24,16,,,,
07/29/2018 18:00,0,23,12,,,,
07/29/2018 18:15,0,24,17,,,,
07/29/2018 18:30,0,23,14,,,,
07/29/2018 18:45,0,20,12,,,,
07/29/2018 19:00,0,23,10,,,,
07/29/2018 19:15,0,26,6,,,,
07/29/2018 19:30,2,23,9,,,,
07/29/2018 19:45,2,25,20,,,,
07/30/2018 6:00,0,1,2,,,,
07/30/2018 6:15,0,0,2,,,,
07/30/2018 6:30,0,0,0,,,,
07/30/2018 6:45,0,1,1,,,,
07/30/2018 7:00,0,1,3,,,,
07/30/2018 7:15,0,1,2,,,,
07/30/2018 7:30,0,1,3,,,,
07/30/2018 7:45,0,1,3,,,,
07/30/2018 8:00,0,2,3,,,,
07/30/2018 8:15,1,3,7,,,,
07/30/2018 8:30,1,3,3,,,,
07/30/2018 8:45,2,7,8,,,,
07/30/2018 9:00,2,9,8,,,,
07/30/2018 9:15,0,7,8,,,,
07/30/2018 9:30,2,10,7,,,,
07/30/2018 9:45,2,9,9,,,,
07/30/2018 10:00,4,8,10,,,,
07/30/2018 10:15,4,8,8,,,,
07/30/2018 10:30,6,12,14,,,,
07/30/2018 10:45,10,9,10,,,,
07/30/2018 11:00,6,6,8,,,,
07/30/2018 11:15,5,8,12,,,,
07/30/2018 11:30,7,10,10,,,,
07/30/2018 11:45,8,10,11,,,,
07/30/2018 12:00,15,16,17,,,,
